polity,start_date,end_date
269,1816-01-01,1867-04-17
271,1816-01-01,1871-01-18
273,1816-01-01,1866-07-26
275,1816-01-01,1867-04-17
280,1843-01-01,1867-04-17
290,1918-11-03,1939-09-27
290,1945-06-28,2016-12-31
300,1816-01-01,1918-11-12
305,1919-09-10,1938-03-13
305,1955-07-27,2016-12-31
310,1918-11-16,2016-12-31
315,1918-10-28,1939-03-15
315,1945-05-10,1992-12-31
316,1993-01-01,2016-12-31
317,1993-01-01,2016-12-31
325,1816-01-01,2016-12-31
327,1816-01-01,1860-11-05
329,1816-01-01,1861-02-13
331,1992-03-02,2016-12-31
332,1842-01-01,1860-03-15
335,1851-01-01,1860-03-15
337,1816-01-01,1860-03-15
338,1964-09-21,2016-12-31
339,1914-01-01,1939-04-07
339,1944-11-17,2016-12-31
341,2006-06-12,2016-12-31
343,1993-04-08,2016-12-31
344,1992-01-15,2016-12-31
345,1878-07-13,1941-04-20
345,1944-10-20,2016-12-31
346,1992-04-07,2016-12-31
347,2008-02-20,2016-12-31
349,1992-01-15,2016-12-31
350,1828-01-01,1941-04-23
350,1944-10-13,2016-12-31
352,1960-08-16,2016-12-31
355,1908-10-05,2016-12-31
359,1991-12-26,2016-12-31
360,1878-07-13,2016-12-31
365,1816-01-01,2016-12-31
366,1918-02-24,1940-06-16
366,1991-09-06,2016-12-31
367,1918-11-18,1940-06-16
367,1991-09-06,2016-12-31
368,1918-02-16,1940-06-15
368,1991-09-06,2016-12-31
369,1991-12-26,2016-12-31
370,1991-12-26,2016-12-31
371,1991-12-26,2016-12-31
372,1991-12-26,2016-12-31
373,1991-12-26,2016-12-31
375,1917-12-06,2016-12-31
380,1816-01-01,2016-12-31
385,1905-06-07,1940-04-30
385,1945-05-07,2016-12-31
390,1816-01-01,1940-04-09
390,1945-05-07,2016-12-31
395,1944-06-17,2016-12-31
402,1975-07-05,2016-12-31
403,1975-07-12,2016-12-31
404,1974-09-10,2016-12-31
411,1968-10-12,2016-12-31
420,1965-02-18,2016-12-31
432,1960-06-20,2016-12-31
433,1960-08-20,2016-12-31
434,1960-08-01,2016-12-31
435,1960-11-28,2016-12-31
436,1960-10-03,2016-12-31
437,1960-08-07,2016-12-31
438,1958-10-02,2016-12-31
439,1960-08-05,2016-12-31
450,1920-06-30,2016-12-31
451,1961-04-27,2016-12-31
452,1957-03-06,2016-12-31
461,1960-04-27,2016-12-31
471,1960-01-01,2016-12-31
475,1960-10-01,2016-12-31
481,1960-08-17,2016-12-31
482,1960-08-13,2016-12-31
483,1960-08-11,2016-12-31
