id,name,type_code,is_intervention,is_international
571,Panthay Rebellion phase 2 of 1860-1874,5,,False
572,U.S. Civil War of 1861-1865,5,,False
573,Third Buenos Aires War of 1861-1862,4,,False
575,Third Turco-Montenegrin War of 1861-1862,5,,False
576,Tungan Rebellion of 1862-1873,5,,False
577,Minnesota-Sioux War of 1862,6,,False
578,Bolivan Perez Rebellion of 1862,4,,False
579,Second Polish War of 1863-1864,5,,False
580,Second Argentina War of 1863,4,,False
580.5,Bandit War of 1863,5,,False
581,Sahil Revolt of 1864-1865,5,,False
582,Xinjiang Muslim Revolt of 1864-1866,5,,False
582.3,Kanto Insurrection of 1864-1865,4,,False
582.5,Constitutionalist Rebellion of 1865-1866,4,,False
583,First Cretan War of 1866-1868,5,,False
585,Yellow Cliff Revolt of 1866,5,,False
586,Third Argentina War of 1866-1867,4,,False
586.5,Kashgar-Khotan War of 1867,7,,False
587,Queretaro War of 1867,4,,False
587.8,Venezualan Blue Revolution of 1867-1868,4,,False
588,Meiji Restoration of 1868-1869,4,,False
591,Spainish Liberals War of 1868,4,,False
592,Guerre des Cacos of 1868-1869,4,,False
592.5,Venezuelan Yellow Revolution of 1869-1872,4,,False
592.7,First Kashgarian - Tungan War of 1870,7,,False
593, First Entre Rios War of 1870-1871,5,,False
595,Bolivia-Criollos War of 1870-1871,4,,False
596,Paris Commune War of 1871,4,,False
596.7,Second Kashgarian - Tungan War of 1871-1872,7,,False
597,Third Carlist War of 1872-1876,4,,False
597.5,Second Entre Rios War of 1873,5,,False
598,Catonalist Uprising of 1873-1874,5,,False
600,Mitre Rebellion of 1874,4,,False
601,Bosnia and Bulgaria Revolt of 1875-1876,5,,False
602,Diaz Revolt of 1876,4,,False
603,Defeat of Xinjiang Muslims of 1876-1878,5,,False
605,Fourth Colombian War of 1876-1877,4,,False
606,Ecuador's Veintemilla Revolt of 1876,4,,False
607,Satsuma Rebellion of 1877,4,,False
608,Argentine Indians War of 1878-1879,5,,False
609,Revindication War of 1879,4,,False
610,Fourth Buenos Aires War of 1880,5,,False
610.5,Mahdist Rebellion phase 1 of 1881-1882,5,,False
611,Haitian Civil War of 1883-1884,4,,False
612,Fifth Colombian War of 1884-1885,4,,False
613,Peru's National Problem of 1885,5,,False
616,First Yemeni Imamate  Rebellion of 1890-1892,5,,False
616.5,Campos Mutiny of 1890,4,,False
617,Chilean Congressist War of 1891,4,,False
618,Zaili-Jinden Revolt of 1891,4,,False
619,Venezuela's Legalist Revolution of 1892 ,4,,False
620,Brazil Federalists War of 1893-1894,4,,False
621,Brazil Naval War of 1893-1894,4,,False
623,Tonghak Rebellion phase 1 of 1894,5,,True
625,Third Peru War of 1894-1895,4,,False
626,Sixth Colombian War of 1895,4,,False
627,Ecuador Liberals War of 1895,4,,False
628,First Gansu Muslim War of 1895-1896,5,,False
630,Druze Rebellion of 1895-1896,5,,False
630.2,Armenian Hunchak Uprising of 1895-1896,5,,False
631,Second Cretan War of 1896-1897,5,,False
631.5,Ecuadorian Conservative Revolt of 1896,4,,False
632,Canudos Revolt of 1896-1897,5,,False
632.3,Revolución de Queipa of 1898,4,,False
632.6,Second Yemeni Imamate Rebellion of 1898-1899,5,,False
633,Fourth Venezuelan War of 1899,4,,False
635,Second Yaqui War of 1899-1900,5,,False
636,Colombian War of the Thousand Days of 1899-1902,4,,True
637,Quintana Roo War of 1899-1901,5,,False
638,Fifth Venezuelan War of 1901-1903,4,,False
639,Third Yemeni Imamate Rebellion of 1902-1906,5,,False
640,Ilinden War of 1902-1903,5,,False
641,First Uruguay War of 1904,4,,False
641.5,Saudi Revolt of 1904 ,5,,False
643,Bloody Sunday War of 1905-1906,4,,False
645,Romanian Peasant Revolt of 1907,4,,False
646,Hafiziyya Uprising of 1907-1908,4,,True
647,Iranian Constitution War of 1908-1909,4,,True
647.5,Asir-Yemen Revolt of 1909-1911,5,,False
