war,region
808,Africa
809,Asia
810,Africa
811,W. Hemisphere
812,Asia
815,W. Hemisphere
815.5,Middle East
816,Middle East
817,W. Hemisphere
820,Africa
823,Africa
824,Asia
825,Africa
826,Africa
826.5,Middle East
828,W. Hemisphere
828.3,Africa
829,W. Hemisphere
833,Middle East
834,Middle East
835,Asia
837,Asia
838,Middle East
840,Middle East
842,Middle East
843,Africa
845,Asia
845.5,W. Hemisphere
846,Africa
848,Africa
849,W. Hemisphere
850,Middle East
851,Asia
852,Africa
853,Asia
854,Asia
856,Europe
857,Africa
858,Asia
859,Asia
860,Oceania
862,Middle East
862.1,Middle East
863,Africa
864,Europe
865,Middle East
865.8,Africa
866,Middle East
868,Africa
871,Europe
872,Europe
873,Europe
874,Asia
874.5,Africa
875,Middle East
876,Asia
877,Europe
877.5,Asia
878,Europe
879,Africa
880,Africa
881,Asia
882,Africa
883,Africa
885,Middle East
886,Africa
887,Middle East
887.5,Africa
888,Europe
891,Europe
893,Middle East
895,Africa
896,Africa
897,Africa
897.5,Middle East
898,Africa
900,Europe
902,Africa
905,Africa
906,Africa
907,Africa
908,Africa
910,Asia
912,Asia
913,Africa
915,Europe
916,Asia
917,Africa
918,Africa
920,Africa
921,Asia
922,Africa
925,Africa
926,Asia
927,Middle East
932,Asia
933,Africa
935,Middle East
936,Asia
937,Africa
940,Asia
940.8,Africa
941,Middle East
942,Asia
971,Middle East
973,Africa
976,Middle East
978,Middle East
979,Middle East
980,Asia
985,Africa
990,Africa
990.4,Africa
991,Middle East
991.4,Asia
991.5,Middle East
992,Middle East
992.5,Africa
993,Europe
994,Middle East
997,Middle East
300,Middle East
301,Middle East
302,W. Hemisphere
303,W. Hemisphere
304,W. Hemisphere
305,Asia
306,Asia
307,Africa
308,W. Hemisphere
309,Middle East
310,Asia
311,Africa
312,W. Hemisphere
313,Asia
314,Asia
315,W. Hemisphere
316,Middle East
317,W. Hemisphere
319,Middle East
320,Middle East
321,Africa
322,Asia
323,Asia
324,Middle East
325,W. Hemisphere
326,Asia
327,W. Hemisphere
329,Asia
330,Middle East
331,Asia
332,Europe
333,Africa
334,Asia
335,Asia
336,Asia
337,Africa
338,Middle East
339,Asia
340,Africa
341,Asia
342,Middle East
343,Asia
345,Africa
347,Asia
349,Asia
350,Asia
351,W. Hemisphere
352,Europe
353,W. Hemisphere
355,Oceania
356,Asia
357,Asia
359,Asia
360,Asia
361,Asia
362,Africa
363,W. Hemisphere
364,Middle East
365,Middle East
366,Middle East
367,Africa
369,Asia
370,Asia
371,Asia
372,Africa
373,Europe
374,Africa
375,Middle East
376,Asia
377,Europe
379,Asia
380,Africa
381,Africa
382,Africa
383,Middle East
384,Middle East
385,Asia
386,Africa
387,Asia
389,Africa
390,Asia
391,Europe
392,Africa
393,Africa
394,Africa
395,Africa
396,Africa
397,Africa
398,Africa
399,Middle East
400,Africa
401,Africa
402,Asia
403,Africa
404,W. Hemisphere
405,Asia
406,Africa
407,Africa
409,Middle East
410,Asia
411,Africa
412,Asia
413,Africa
414,Asia
415,Africa
416,Africa
417,Africa
419,Africa
420,Africa
421,Africa
422,Africa
423,Africa
424,Asia
425,Asia
426,Africa
427,Africa
429,Africa
430,Africa
431,Africa
432,Asia
433,Africa
434,Middle East
435,Asia
436,Middle East
437,Asia
440,Asia
441,W. Hemisphere
442,Asia
443,Asia
444,Middle East
445,Middle East
446,Asia
447,Middle East
449,Middle East
450,Asia
451,Middle East
452,Asia
453,Asia
454,Middle East
455,Asia
456,Asia
457,Asia
459,Africa
460,Asia
461,Asia
462,Asia
463,Middle East
464,Africa
465,Middle East
466,Middle East
467,Africa
469,Africa
471,Africa
472,Asia
473,Africa
474,Middle East
475,Asia
476,Asia
477,Middle East
479,Middle East
480,Middle East
481,Asia
482,Middle East
1500,Oceania
1501,Africa
1502,Asia
1503,W. Hemisphere
1505,Oceania
1506,Asia
1508,Asia
1509,W. Hemisphere
1510,W. Hemisphere
1511,Asia
1512,W. Hemisphere
1513,W. Hemisphere
1514,Africa
1515,Asia
1516,Asia
1518,W. Hemisphere
1520,W. Hemisphere
1521,Africa
1523,W. Hemisphere
1524,Asia
1525,Africa
1527,W. Hemisphere
1528,W. Hemisphere
1530,Asia
1531,W. Hemisphere
1533,Asia
1534,Asia
1535,Africa
1536,Asia
1537,Asia
1538,W. Hemisphere
1539,Asia
1540,W. Hemisphere
1541,Asia
1542,Africa
1543,Asia
1544,Africa
1545,Africa
1546,Africa
1548,Africa
1550,W. Hemisphere
1551,Oceania
1552,Africa
1553,Africa
1554,W. Hemisphere
1556,Africa
1557,Middle East
1558,Oceania
1559,Africa
1560,Africa
1561,Africa
1567,Middle East
1568,Middle East
1570,Asia
1571,Asia
1572,Middle East
1573,Asia
1574,Africa
1577,Middle East
1581,Africa
1582,Asia
1594,Africa
